publish_date,headline_category,headline_text,Label,Party,sent1,Bias1,sent2,Bias2
20120624,india,NCPCR seeks explanation from Haryana govt,3,1,neu,-1,0,-1
20170417,city.indore,HC on alleged Simhastha irregularities: Take issue to CBI; Lokyukt or EOW,0,0,neu,-1,0,-1
20181014,city.bhopal,Rahul to visit Datia; Gwalior from Monday,0,0,neu,-1,0,-1
20170920,sports.football,Premier Futsal: Bengaluru Royals rout Mumbai Warriors,13,1,neu,-1,0,-1
20090824,city.mysuru,Assembly session will focus on people's problems: CM,3,1,neu,-1,0,-1
20110801,city.ranchi,Nine die in lightning strikes,0,0,neg,1,0,-1
20161130,city.nagpur,'Chaturvedi has aresearcher's mind',3,1,neu,-1,0,-1
20140803,commonwealth-games-2014.news,Bolt again says could run until 2017 worlds,3,1,neu,-1,0,-1
20090925,city.ludhiana,Illegal colony in eye of a storm,3,1,neu,-1,-1,0
20160628,sports.tennis.wimbledon-2016,Below-par Roger Federer into Wimbledon second round,0,0,neu,-1,0,-1
20200323,city.surat,Four nodal cops only to attend bail plea hearings,3,1,neu,-1,0,-1
20071105,business.india-business,World Bank is not just for poor countries,3,1,neu,-1,-1,0
20020625,city.kolkata,CP Thakur's team finds kala azar drug,15,-1,neu,0,0,0
20141208,city.coimbatore,Centre's move against subsidy will destroy farmers: Pandian,3,1,neu,-1,0,-1
20150129,entertainment.hindi.bollywood,Srinagar Imam asks Rs 50 lakh or an apology from Vishal Bharadwaj,10,1,neu,-1,0,-1
20130512,india,My conscience clear; resigned to avoid row: Ashwani Kumar,0,0,neu,-1,0,-1
20140721,entertainment.telugu.movies.news,Ram Charan's new film to begin from Nov,4,1,neu,-1,0,-1
20061029,city.delhi,Are mobiles eroding kids' manners?,3,1,neu,-1,0,-1
20010103,unknown,BJP doing a volte face on casinos: Cong,0,0,neu,-1,0,-1
20071010,speak-out,Is it better if one party gets a clear majority?,0,0,pos,0,0,-1
20190122,city.rajkot,BSF organizes cricket tournament,0,0,neu,-1,0,-1
20141215,sports.football.epl,Leicester axe director of football Robinson,0,0,neu,-1,0,-1
20110723,city.ludhiana,DC suspends revenue officer,3,1,neu,-1,0,-1
20130404,city.madurai,Fire safety overlooked by organisers of Virudhunagar temple fest,3,1,neu,-1,0,-1
20200814,city.hyderabad,MSN Labs rolls out cheapest Covid-19 drug,3,1,neu,-1,0,-1
20140227,city.pune,MPCB proposes tougher sewage treatment norms,3,1,neu,-1,0,-1
20160218,entertainment.malayalam.movies.news,I won't marry a stranger again,3,1,neu,-1,0,-1
20130220,city.mysuru,Institutions will remain closed today,3,1,neu,-1,0,-1
20110302,tech,Android developers on war path with Google,3,1,neu,-1,0,-1
20170909,city.pune,Rs 2 lakh penalty now for late registration under RERA,10,1,neu,-1,0,-1
20160917,tv.news.english,Vir Das to have his own Netflix comedy special,0,0,neu,-1,1,0
20130416,city.mumbai,Woman fidayeens being trained to attack Mumbai; Pune: Patil,13,1,neu,-1,0,-1
20120223,home.campaigns,Bye bai I039ve got a robot,3,1,neu,-1,0,-1
20160722,city.mumbai,Oppn demands discussion on law and order in state,3,1,neu,-1,0,-1
20150912,city.pune,NGT orders stern action against illegal Goa miners,8,1,neu,-1,0,-1
20171202,city.patna,Youths from Bihar to be taught job skills by Yamaha,3,1,neu,-1,0,-1
20180722,city.chandigarh,SAD questions Kejriwal's silence over Sandoa's involvement in molestation case,7,0,neu,-1,-1,1
20150804,sports.chess,Ananya; Dhanashree share lead in state U-15 chess championship,3,1,neu,-1,0,-1
20020529,city.kolkata,Ghauri can hit Kolkata in minutes,3,1,neu,-1,0,-1
20160416,city.nagpur,HC seeks irri work audit progress,3,1,neu,-1,0,-1
20121103,world.uk,NRI couple's 87-year marital bond is a world record,3,1,neu,-1,0,-1
20181227,city.patna,day 2 flight operations hit at patna airport,9,1,neu,-1,0,-1
20150314,city.bhubaneswar,Free airstrips of encroachments: Assembly committee,0,0,neu,-1,1,0
20180327,sports.commonwealth-games,Nervous wait for Vijayakumari; three other athletes,0,0,neu,-1,0,-1
20190930,city.lucknow,Azam Khan's wife to fight from family hub,0,0,neu,-1,0,-1
20111020,city.surat,2 Pakistani nationals held by BSF in Harami Nala,1,1,neu,-1,0,-1
20160123,city.allahabad,UP Board adds new topics to old subjects this year,4,1,neu,-1,0,-1
20170108,city.delhi,Travellers hit as fog delays flights; trains,3,1,neu,-1,0,-1
20161231,city.chennai,Attack on doctors: Medical association seeks medical tribunal,13,1,neu,-1,0,-1
20090804,business.india-business,Exports dip 28% on low global demand,3,1,neu,-1,0,-1
20160821,entertainment.hindi.bollywood,Remo D'Souza: Wanted an innocent looking guy for 'A Flying Jatt',0,0,neu,-1,1,0
20111001,unknown,RSS-Gadkari-Advani 'concoction' troubling Modi: Thackeray,3,1,neu,-1,0,-1
20170731,city.lucknow,Lucknow Municipal Corp picks beggar's stash of Rs 40;000 in old notes,10,1,neu,-1,0,-1
20140904,india,2G probe hearing: SC refuses to restrain media on CBI chief's request,0,0,neu,-1,0,-1
20150612,city.pune,Dumper driver rams 11 vehicles on the Katraj- Dehu Road bypass; 6 dead,3,1,neu,-1,0,-1
20030924,city.ahmedabad,PSI; three constables land in ACB net,0,0,neu,-1,0,-1
20130828,city.bengaluru,Sureme Court orders CBI probe into lawyer-police journalist clash,8,1,neu,-1,0,-1
20091007,city.ranchi,Development fair opened in Dumka,0,0,neu,-1,1,0
20190326,city.lucknow,Mayawati; Yogi Adityanath spat over Twitter on cane dues,3,1,neu,-1,0,-1
20130120,city.bengaluru,Ejipura shantytown bulldozed,3,1,neu,-1,0,-1
20090922,city.goa,Quepem police station functioning sans PI,6,1,neu,-1,0,-1
20120523,sports.hockey,India seek return to podium in Azlan Shah hockey,11,1,neu,-1,0,-1
20141225,business.india-business,Gold loses sheen to import curbs; smugglers make hay,3,1,neu,-1,0,-1
20201110,city.trichy,3 of family; who arrived illegally from Sri Lanka; held,1,1,neu,-1,-1,0
20040901,india,Congress finding BSP too hot to handle,0,0,neu,-1,0,-1
20061207,life-style.relationships.man-woman,At loggerheads,3,1,neu,-1,0,-1
