publish_date,headline_category,headline_text
20200101,city.ludhiana,Punjab: Congress government to allow anti-CAA protest today
20120624,india,NCPCR seeks explanation from Haryana govt
20170417,city.indore,HC on alleged Simhastha irregularities: Take issue to CBI; Lokyukt or EOW
20181014,city.bhopal,Rahul to visit Datia; Gwalior from Monday
20170920,sports.football,Premier Futsal: Bengaluru Royals rout Mumbai Warriors
20090824,city.mysuru,Assembly session will focus on people's problems: CM
20110801,city.ranchi,Nine die in lightning strikes
20161130,city.nagpur,'Chaturvedi has aresearcher's mind'
20140803,commonwealth-games-2014.news,Bolt again says could run until 2017 worlds
20090925,city.ludhiana,Illegal colony in eye of a storm
20160628,sports.tennis.wimbledon-2016,Below-par Roger Federer into Wimbledon second round
20200323,city.surat,Four nodal cops only to attend bail plea hearings
20071105,business.india-business,World Bank is not just for poor countries
20020625,city.kolkata,CP Thakur's team finds kala azar drug
20141208,city.coimbatore,Centre's move against subsidy will destroy farmers: Pandian
20150129,entertainment.hindi.bollywood,Srinagar Imam asks Rs 50 lakh or an apology from Vishal Bharadwaj
20130512,india,My conscience clear; resigned to avoid row: Ashwani Kumar
20140721,entertainment.telugu.movies.news,Ram Charan's new film to begin from Nov
20061029,city.delhi,Are mobiles eroding kids' manners?
20010103,unknown,BJP doing a volte face on casinos: Cong
20071010,speak-out,Is it better if one party gets a clear majority?
20190122,city.rajkot,BSF organizes cricket tournament
20141215,sports.football.epl,Leicester axe director of football Robinson
20110723,city.ludhiana,DC suspends revenue officer
20130404,city.madurai,Fire safety overlooked by organisers of Virudhunagar temple fest
20200814,city.hyderabad,MSN Labs rolls out cheapest Covid-19 drug
20140227,city.pune,MPCB proposes tougher sewage treatment norms
20160218,entertainment.malayalam.movies.news,I won't marry a stranger again
20130220,city.mysuru,Institutions will remain closed today
20110302,tech,Android developers on war path with Google
20170909,city.pune,Rs 2 lakh penalty now for late registration under RERA
20160917,tv.news.english,Vir Das to have his own Netflix comedy special
20130416,city.mumbai,Woman fidayeens being trained to attack Mumbai; Pune: Patil
20120223,home.campaigns,Bye bai I039ve got a robot
20160722,city.mumbai,Oppn demands discussion on law and order in state
20150912,city.pune,NGT orders stern action against illegal Goa miners
20171202,city.patna,Youths from Bihar to be taught job skills by Yamaha
20180722,city.chandigarh,SAD questions Kejriwal's silence over Sandoa's involvement in molestation case
20150804,sports.chess,Ananya; Dhanashree share lead in state U-15 chess championship
20020529,city.kolkata,Ghauri can hit Kolkata in minutes
20160416,city.nagpur,HC seeks irri work audit progress
20121103,world.uk,NRI couple's 87-year marital bond is a world record
20181227,city.patna,day 2 flight operations hit at patna airport
20150314,city.bhubaneswar,Free airstrips of encroachments: Assembly committee
20180327,sports.commonwealth-games,Nervous wait for Vijayakumari; three other athletes
20190930,city.lucknow,Azam Khan's wife to fight from family hub
20111020,city.surat,2 Pakistani nationals held by BSF in Harami Nala
20160123,city.allahabad,UP Board adds new topics to old subjects this year
20170108,city.delhi,Travellers hit as fog delays flights; trains
20161231,city.chennai,Attack on doctors: Medical association seeks medical tribunal
20090804,business.india-business,Exports dip 28% on low global demand
20160821,entertainment.hindi.bollywood,Remo D'Souza: Wanted an innocent looking guy for 'A Flying Jatt'
20111001,unknown,RSS-Gadkari-Advani 'concoction' troubling Modi: Thackeray
20170731,city.lucknow,Lucknow Municipal Corp picks beggar's stash of Rs 40;000 in old notes
20140904,india,2G probe hearing: SC refuses to restrain media on CBI chief's request
20150612,city.pune,Dumper driver rams 11 vehicles on the Katraj- Dehu Road bypass; 6 dead
20030924,city.ahmedabad,PSI; three constables land in ACB net
